name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Drew Dickson Architects,https://www.dda-australia.com,info@dda-australia.com,+61 2 9061 3433,Australia,Crows Nest,Architecture,small,https://au.linkedin.com/company/drew-dickson-architects,,residential;interiors,hiring_viz,0,"Advertising an Architectural Technician & Team Leader role on ArchitectureAU's job board - full-time, salary or contract",ArchitectureAU jobs board
MCG Architects,https://www.mcgarchitects.com.au,reception@mcgarchitects.com.au,+61 8 9791 6993,Australia,Bunbury,Architecture,small,https://au.linkedin.com/company/mcg-architects,,regional;western-australia,hiring_viz,0,"Advertising for Registered Architects with potential for directorship advancement on ArchitectureAU's job board - a small regional WA practice actively growing",ArchitectureAU jobs board
McIldowie Partners,https://www.mcildowiepartners.com.au,info@mcildowiepartners.com.au,+61 3 9629 8100,Australia,Melbourne,Architecture,medium,,,education;aged-care;interiors,hiring_viz,0,"Advertising for a Graduate of Architecture on ArchitectureAU's job board; specialises in school, education and aged-care facilities",ArchitectureAU jobs board
DesignInc Brisbane,https://www.designinc.com.au,reception@brisbane.designinc.com.au,+61 7 3229 5266,Australia,Brisbane,Architecture,medium,https://au.linkedin.com/company/designinc-brisbane,,multi-studio;national-network,hiring_viz,0,"Advertising for a Graduate of Architecture on ArchitectureAU's job board; Brisbane studio of the national DesignInc network",ArchitectureAU jobs board
Besley & Spresser,https://www.besleyspresser.com,studio@besleyspresser.com,,Australia,Surry Hills,Architecture,small,,,public;pavilion;concept-driven,recent_award,5,"Pier Pavilion shortlisted in Public Architecture at the 2026 National Architecture Awards; also won the competition for a new permanent public pavilion on Sydney Harbour",2026 National Architecture Awards shortlist
Curious Practice,https://curiouspractice.com,mail@curiouspractice.com,+61 411 824 600,Australia,Newcastle,Architecture,small,,,residential;coastal,recent_award,5,"Cowrie Hole shortlisted in Residential Architecture - Houses (New) at the 2026 National Architecture Awards",2026 National Architecture Awards shortlist
Bokey Grant,https://www.bokeygrant.com,hello@bokeygrant.com,+61 410 107 201,Australia,Sydney,Architecture,solo,,,residential;emerging,recent_award,6,"EA House shortlisted in Residential Architecture - Houses (New) at the 2026 National Architecture Awards; self-describes as an emerging practice working between Sydney and the Southern Highlands",2026 National Architecture Awards shortlist
Anthony Gill Architects,https://www.gillarchitects.com.au,,+61 2 7234 1882,Australia,Bondi Beach,Architecture,small,,,residential;retail;hospitality,recent_award,5,"Darlinghurst House shortlisted in Residential Architecture - Alterations and Additions at the 2026 National Architecture Awards; email on the site is script-protected and could not be read",2026 National Architecture Awards shortlist
Taylor + Hinds Architects,https://www.taylorandhinds.com.au,contactus@taylorandhinds.com.au,+61 3 6287 7024,Australia,Cremorne,Architecture,small,,,heritage;first-nations;tasmania,recent_award,6,"Two Wybalenna projects shortlisted at the 2026 National Architecture Awards across Heritage, Small Project and the Colorbond Steel award; founded 2013 by Poppy Taylor and Mat Hinds",2026 National Architecture Awards shortlist
Youssofzay Hart,https://www.youssofzayhart.com.au,,+61 2 9518 0124,Australia,Zetland,Architecture,small,https://au.linkedin.com/company/youssofzay-hart,,cultural;civic;interiors,recent_award,4,"Lynda Draper: Glimmer won Installation Design at the 2026 Australian Interior Design Awards; directors Belqis Youssofzay and David Hart, clients include the Powerhouse and M+ Hong Kong; no email published",2026 Australian Interior Design Awards
Studio Gram,https://studio-gram.com.au,hello@studio-gram.com.au,+61 8 8299 9222,Australia,Adelaide,Interior Design,small,,,hospitality;residential;commercial,recent_award,5,"Omada won Hospitality Design at the 2026 Australian Interior Design Awards; founded 2014 by Dave Bickmore and Graham Charbonneau, full service from base building through to styling",2026 Australian Interior Design Awards
J.AR Office,https://www.jaroffice.com,info@jaroffice.com,+61 7 3190 4903,Australia,Brisbane,Architecture,small,https://www.linkedin.com/company/j-ar-office,,hospitality;interiors;heritage,recent_award,5,"Marlowe won Hospitality Design at the 2026 Australian Interior Design Awards and Golden Avenue was shortlisted in Interior Architecture at the 2026 National Architecture Awards; established 2022 by Jared Webb",2026 Australian Interior Design Awards
Pattern Studio,https://patternstudio.net,lily@patternstudio.net,+61 433 332 364,Australia,Sydney,Interior Design,solo,,,retail;restraint,recent_award,6,"Deiji won Retail Design at the 2026 Australian Interior Design Awards; two named principals (Lily Goodwin, Josh Cain) each publishing a personal email",2026 Australian Interior Design Awards
YSG Studio,https://ysg.studio,tom@ysg.studio,+61 404 215 819,Australia,Redfern,Interior Design,small,https://au.linkedin.com/company/ysg-studio,,residential;decoration;bold,recent_award,3,"The Gentleman won Residential Decoration at the 2026 Australian Interior Design Awards; named-person client enquiries email published separately from press and supplier contacts",2026 Australian Interior Design Awards
Occupy Studio,https://www.occupystudio.com.au,scott@occupystudio.com.au,+61 423 408 940,Australia,Byron Bay,Interior Design,solo,,,residential;commercial;emerging,recent_award,5,"Rowie HQ won Emerging Interior Design Practice at the 2026 Australian Interior Design Awards - a category specifically for new and small practices; named-person email",2026 Australian Interior Design Awards
