name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Studio Plus Architects,https://studioplus-eg.com,info@studioplus-eg.com,+20 10 98654260,Egypt,Cairo,Architecture,small,,,,no_inhouse,0,"Boutique multidisciplinary architecture + interior practice since 2014, residential and commercial; email + address in own listing","WebSearch best architecture firms Cairo Egypt 2026-09-08"
Said Reda Architects,https://www.saidreda.com,info@saidreda.com,+20 1011186555,Egypt,Cairo,Architecture,small,,,,recent_award;no_inhouse,0,"Award-winning boutique studio of architects + engineers established 2018 in Cairo (Nasr City); email on /contact","WebSearch best architecture firms Cairo Egypt 2026-09-08"
Archist Design Studio,https://archistdesigns.com,info@archistdesigns.com,+20 100 5582406,Egypt,Cairo,Architecture,small,,,,new_project;no_inhouse,0,"Full-service architecture + interiors + planning studio (Ibrahem Magdy); appointed for D.mile Zayed, a ~300-unit District 4 community in Sheikh Zayed","WebSearch Egypt architecture studio New Cairo Sheikh Zayed 2026-09-08"
Cube Consultants,https://cubeconsultants.org,cube@cubeconsultants.org,+20 2 21802045,Egypt,Cairo,Architecture,medium,,,,new_project;no_inhouse,0,"Architecture + urban planning consultancy (Heliopolis) since 1990; New Administrative Capital and Tutera City projects","WebSearch best architecture firms Cairo Egypt 2026-09-08"
Miro Architects,https://miro-architects.com,info@miro-architects.com,,Egypt,Cairo,Architecture,small,,,,recent_award;no_inhouse,0,"Maadi architecture + interior studio; Luxury Lifestyle Awards commercial-architecture winner; email on own listing","WebSearch top interior design firms Egypt Cairo 2026-09-08"
VA Studio,https://www.vastudios.net,info@vastudios.net,+20 10 25360005,Egypt,Cairo,Visualization,small,,,,no_inhouse,2,"3D exterior/interior visualization + animation studio in New Cairo since 2010, serves Egypt + MENA - overflow partner; email on own site","WebSearch Egypt architectural visualization 3D rendering studio 2026-09-08"
Badie Architects,https://www.badiearchitects.com,office@badiearchitects.com,+20 1010968911,Egypt,Cairo,Interior Design,small,,,,no_inhouse,0,"Cairo studio since 2014 - interior design, architecture, furniture + product design, landscape, art direction; email on /contact","WebSearch top interior design firms Egypt Cairo 2026-09-08"
IL Cazar Developments,https://ilcazar.com,hello@ilcazar.com,,Egypt,New Cairo,Real Estate,large,,,,new_project,0,"Egyptian residential + mixed-use developer, active 2026 project pipeline (New Cairo, Sheikh Zayed, North Coast); email on /contact-us","Nawy new projects in Egypt 2026 guide 2026-09-08"
SKETCHURE,https://sketchure.com,info@sketchure.com,+20 1020000435,Egypt,Cairo,Interior Design,small,,,,no_inhouse,0,"High-end residential + hospitality interior studio since 2017, offices in Egypt + UAE; email on /contact","WebSearch Egypt architecture studio New Cairo Sheikh Zayed 2026-09-08"
Hany Saad Innovations,https://hsi-eg.com,info@hsi-eg.com,+20 12 87831831,Egypt,New Cairo,Interior Design,medium,,,,no_inhouse,0,"Architecture + interior design house, 800+ projects across Africa and the Middle East since 2003; email on /contact","WebSearch top interior design firms Egypt Cairo 2026-09-08"
