name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Atelier Bow-Wow,https://bow-wow.jp,,,Japan,Tokyo,Architecture,small,,,famous-small-studio;urban-research,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Tadao Ando Architect & Associates,https://tadao-ando.com,,,Japan,Osaka,Architecture,medium,,,concrete;pritzker,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Tezuka Architects,https://tezuka-arch.com,recruit@tezuka-arch.com,03-3703-7056,Japan,Tokyo,Architecture,small,,,~20-staff;family-spaces,,0,"Site reachable (200). Source listed a second email (tez@sepia.ocn.ne.jp) on a personal ISP domain - kept the firm's own-domain address instead.",Japan lead list import - 2026-08-10
Klein Dytham architecture,https://klein-dytham.com,,,Japan,Tokyo,Architecture,small,,,international;playful,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Mount Fuji Architects Studio,https://mfas.co.jp,,,Japan,Tokyo,Architecture,small,,,materials-focus,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Atelier Tekuto,https://tekuto.com,,,Japan,Tokyo,Architecture,small,,,experimental-housing,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Riken Yamamoto & Field Shop,https://riken-yamamoto.co.jp,,,Japan,Yokohama,Architecture,medium,,,pritzker-2024,recent_award,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Fumihiko Maki / Maki and Associates,https://maki-and-associates.co.jp,recruit@maki-and-associates.co.jp,,Japan,Tokyo,Architecture,medium,,,pritzker-laureate,,0,Site reachable (200).,Japan lead list import - 2026-08-10
Suzuko Yamada Architects,https://suzukoyamada.com,,,Japan,Tokyo,Architecture,small,,,emerging;~3-staff,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
van der Architects,https://vanderarchitects.com,,,Japan,Tokyo,Architecture,small,,,dutch-led,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
HUNE Architects,https://hune.design,,,Japan,Tokyo,Architecture,small,,,full-service;international,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Bakoko Architects,https://bakoko.jp,,,Japan,Tokyo,Architecture,small,,,sustainability-focus,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Nendo,https://nendo.jp,,,Japan,Tokyo,Architecture,medium,,,multidisciplinary;product-design,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Key Operation Inc.,https://keyoperation.com,,,Japan,Tokyo,Architecture,small,,,,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Noiz Architects,https://noizarchitects.com,,,Japan,Tokyo,Architecture,small,,,computational-design,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Schemata Architects,https://schemata.jp,,,Japan,Tokyo,Architecture,small,,,founder-jo-nagasaka;interiors,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Suppose Design Office,https://suppose.jp,,,Japan,Hiroshima,Architecture,small,,,founder-makoto-tanijiri,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
On Design Partners,https://ondesign.co.jp,,,Japan,Yokohama,Architecture,medium,,,~30-plus-staff,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
WHITE Japan,https://white-japan.co.jp,,,Japan,Tokyo,Visualization,small,,,photoreal-rendering;vr,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Basic9studio,https://basic9studio.com,Basic9studio@gmail.com,,Japan,Fukuoka,Visualization,small,,,,,0,"Site reachable (200). Address: CASEBLDG 202, Yakuin 2-3-30, Chuo-ku, Fukuoka-shi.",Japan lead list import - 2026-08-10
AIMIR CG (Japan office),https://aimircg.com,japan@aimircg.com,,Japan,Tokyo,Visualization,medium,,,luxury-renders;also-has-china-office,,0,"Site reachable (200). Tomigaya, Shibuya-ku Tokyo office. This company already has a Guangzhou entry in china.csv - kept as a separate row here since it's a distinct Japan office/contact.",Japan lead list import - 2026-08-10
Kaputeli,https://kaputeli.com,,03-5315-4001,Japan,Tokyo,Visualization,small,,,high-quality-cg,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Shigeru Ban Architects,https://shigerubanarchitects.com,tokyo@shigerubanarchitects.com,,Japan,Tokyo,Architecture,medium,,,paper-architecture;humanitarian-relief,,0,"Site reachable (200). Address: 5-2-4 Matsubara, Setagaya, Tokyo, 156-0043.",Japan lead list import - 2026-08-10
Takara Leben,https://leben.co.jp,,,Japan,Tokyo,Real Estate,medium,,,listed-developer,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Mugen Estate,https://mugen-estate.co.jp,,,Japan,Tokyo,Real Estate,medium,,,listed-developer,,0,"Site reachable (200, redirects to www subdomain); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Ichiken,https://ichiken.co.jp,,,Japan,Japan,Construction,medium,,,listed;real-estate-and-construction,,0,"Site reachable (200, redirects to www subdomain); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
Tobu Real Estate,https://tobu-re.co.jp,,,Japan,Tokyo,Real Estate,medium,,,rail-affiliated-developer,,0,"Site reachable (200); no plain-text email, contact via website form only.",Japan lead list import - 2026-08-10
CASE-REAL,https://www.casereal.com,project@casereal.com,+81 3 6427 5144,Japan,Fukuoka,Interior Design,small,,,interiors;architecture;international;founded-2000,no_inhouse,6,"Fukuoka + Tokyo practice founded 2000 by Koichi Futatsumata, refined interior and architecture work internationally; dedicated projects inbox",WebSearch Tokyo small architecture studio list
APOLLO Architects & Associates,https://kurosakisatoshi.com,info@kurosakisatoshi.com,+81 3 6433 5095,Japan,Tokyo,Architecture,small,,,residential;minimal-houses;planning,no_inhouse,6,"Minami-Aoyama (Tokyo) practice of Satoshi Kurosaki, prolific pared-back private houses",WebSearch Tokyo small architecture studio list
Fujiwara Muro Architects,https://aplan.jp,info@aplan.jp,+81 6 6761 5577,Japan,Osaka,Architecture,small,,,houses;shops;offices;small-sites,no_inhouse,5,"Osaka (Tennoji) practice of Shintaro Fujiwara and Yoshio Muro, inventive small-site houses and shops across Japan",native-language WebSearch 建築設計事務所 大阪 住宅
Atelier M,https://atelier-m.com,info@atelier-m.com,+81 6 6703 0181,Japan,Osaka,Architecture,small,,,residential;clinics;commercial,no_inhouse,4,"Osaka (Uemachi) first-class architect office led by Masaki Moriya, residential, clinic and commercial design",native-language WebSearch 建築設計事務所 大阪 住宅
Atelier Sankaku Scale,https://www.a-sansuke.com,sansuke@a-sansuke.com,+81 92 555 3800,Japan,Chikushino,Architecture,small,,,residential;clinics;shops;urban,no_inhouse,4,"Chikushino (Fukuoka) architecture office - houses, clinics, villas, apartments, shops and machizukuri",native-language WebSearch 建築設計事務所 福岡 住宅
Yoshinori Sakano Architects,https://ys-arc.co.jp,info@ys-arc.co.jp,,Japan,Tokyo,Architecture,small,,,narrow-lot-houses;split-level;founded-2001,no_inhouse,6,"Shibuya-ku (Tomigaya) practice, founded as Flat House 2001, known for inventive tiny/narrow-lot Tokyo houses",WebSearch Tokyo small architecture studio list
SAKAE Architects & Engineers,https://www.sakae-archi.com,yamazaki@sakae-archi.co.jp,,Japan,Tokyo,Architecture,small,,,residential;award-shortlist;chiyoda,recent_award,4,"Kanda (Chiyoda-ku, Tokyo) architecture and engineering office; KIBA Tokyo Residence shortlisted at the Sky Design Awards and International Residential Architecture Awards; named-contact email on the .co.jp mail domain (site is .com)",WebSearch Tokyo small architecture studio list
Moderno,https://www.moderno-pers.com,y_sanon@moderno.co.jp,+81 3 6434 9807,Japan,Tokyo,Visualization,small,,,archviz;cgi;commercial;residential,no_inhouse,6,"Azabu-Juban (Minato-ku, Tokyo) architectural-perspective and CG studio; named-contact email on the .co.jp mail domain (site is moderno-pers.com). Included per always-include-viz rule.",native-language WebSearch 建築CGパース 制作会社
Saimoto Design Atelier,https://www.saimoto.jp,saimoto@saimoto.jp,,Japan,Nagoya,Architecture,small,,,residential;natural-materials;site-specific,no_inhouse,5,Nagoya residential design atelier reading lifestyle and site character to make houses that use natural light and materials,native-language WebSearch 建築設計事務所 名古屋 住宅
Lead Real Estate,https://www.lead-real.co.jp,k-takahashi@lead-real.co.jp,+81 3 5784 5127,Japan,Tokyo,Real Estate,medium,,,developer;luxury-residential;single-family;condominiums;nasdaq-listed,new_project,3,"Nasdaq-listed (LRE) Tokyo developer of luxury single-family homes and condominiums across Tokyo, Kanagawa and Sapporo, plus new extended-stay hospitality; steady 2026 project deliveries (EXCELSIOR NAKAMEGURO, NAOI STYLE)",WebSearch Japan real estate developer 2026
Unemori Architects,https://unemori-archi.com,,,Japan,Tokyo,Architecture,small,,,tiny-plots;stacked-volumes;founded-2009,no_inhouse,6,"Central Tokyo practice founded 2009 by Hiroyuki Unemori, inventive small houses on micro plots (House Tokyo, 26 sqm); no plaintext email published",WebSearch Tokyo small architecture studio list
KOMINORU Design,https://kominoru.com,,,Japan,Tokyo,Architecture,small,,,narrow-lot-houses;parametric-facades;residential,no_inhouse,6,"Higashi-Gotanda (Shinagawa, Tokyo) residential design team known for tiny corner-lot towers and parametric timber facades; email redacted in listings so withheld",WebSearch Tokyo small architecture studio list
CURIOSITY,https://curiosity.jp,,,Japan,Tokyo,Interior Design,medium,,,interiors;architecture;product-design;luxury;founded-1998,no_inhouse,4,"Tokyo multidisciplinary studio founded 1998 by Gwenael Nicolas (with Reiko Miyamoto), bespoke interior design, architecture and product design; no plaintext email published",WebSearch Japan interior design studio Tokyo
Space Lab,https://spc-lab.jp,,,Japan,Tokyo,Visualization,medium,,,archviz;advertising-cg;bim;vr;3d-scan;founded-2009,no_inhouse,5,"Shimbashi (Minato-ku, Tokyo) architectural-visualisation company founded 2009 - CG perspectives, advertising CG, 3D scan surveys, BIM, VR; email published on a holding-company domain so withheld. Included per always-include-viz rule.",native-language WebSearch 建築CGパース 制作会社
Sherpa,https://sherpa-cg.com,,+81 92 717 6800,Japan,Fukuoka,Visualization,small,,,archviz;cgi;condominium-advertising;3d-animation,no_inhouse,6,"Fukuoka architectural CG-perspective studio serving nationwide - CG perspectives, condominium advertising imagery, 3D animation and photo compositing; only a gmail address surfaced so withheld. Included per always-include-viz rule.",native-language WebSearch 建築CGパース 制作会社
Nihon Protec,https://protec.ne.jp,,,Japan,Fukuoka,Visualization,small,,,archviz;vr;360-video;animation;promo-film,no_inhouse,6,"Fukuoka (Hakata) creative company built around architectural CG perspectives, VR, 360-degree video and animation; no plaintext email published. Included per always-include-viz rule.",native-language WebSearch 建築CGパース 制作会社
Yukiko Watanabe Design Office,https://yw-design.co.jp,,,Japan,Tokyo,Interior Design,small,,,hospitality;hotels;restaurants;shops,no_inhouse,4,"Tokyo interior design firm specialising in hotels, restaurants and shops; no plaintext email published",WebSearch Tokyo interior design studio hospitality
Takenouchi Webb,https://www.takenouchiwebb.com,,,Japan,Tokyo,Interior Design,small,,,restaurant;hotel;bar;architecture-and-interiors;founded-2006,no_inhouse,4,"Integrated architecture and interiors practice founded 2006 by Marc Webb and Naoko Takenouchi, specialising in restaurant, hotel and bar projects; no plaintext email published",WebSearch Tokyo interior design studio hospitality
ROOM.C,https://www.roomc.co.jp,,+81 3 6450 4990,Japan,Tokyo,Visualization,small,,,archviz;cgi;high-quality;low-cost,no_inhouse,5,Tokyo architectural-perspective and CG studio producing high-quality renders at low cost; no plaintext email published. Included per always-include-viz rule.,native-language WebSearch 建築CGパース 制作会社
Iogrants,https://eog.co.jp,,,Japan,Tokyo,Visualization,small,,,archviz;cgi;made-to-order,no_inhouse,5,"Tokyo studio producing made-to-order architectural CG perspectives, consultation by Skype/FaceTime/phone/email; no plaintext email published. Included per always-include-viz rule.",native-language WebSearch 建築CGパース 制作会社
