name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Marge Arkitekter,https://marge.se,jobba@marge.se,,Sweden,Stockholm,Architecture,medium,,,cultural;housing;heritage,recent_award;new_project,6,Won the Kasper Salin Prize 2025 for Kv Jungfrun and the Ulricehamn Kulturhus competition in 2025; Pilhamn care home won an Architizer A+Award,Architizer A+Awards 2026 coverage
Tham & Videgard,https://thamvidegard.se,info@thamvidegard.se,,Sweden,Stockholm,Architecture,small,,,modern-residential;villa,,8,Stockholm practice doing modern residential and villa work.,Manual list - 2026-08-08
Claesson Koivisto Rune,https://claessonkoivistorune.se,info@claessonkoivistorune.se,,Sweden,Stockholm,Architecture,small,,,minimal-interiors;residential,,8,Stockholm practice doing minimal interiors and residential work.,Manual list - 2026-08-08
LINK Arkitektur,https://linkarkitektur.se,info@linkarkitektur.se,+46 10 479 99 00,Sweden,Stockholm,Architecture,large,,,scandinavian;multi-office;interiors,,5,"Scandinavian practice of ~500 staff; the Stockholm head office on Virkesvaegen holds 90 architects, interior designers and engineers. The source list gave linkarkitektur.com, which does not resolve - the live domain is linkarkitektur.se.",Manual list - 2026-08-08
Tengbom,https://tengbom.se,hej@tengbom.se,+46 8 412 52 00,Sweden,Stockholm,Architecture,large,,,established;multi-office;urban,,5,"~350 staff across 14 Swedish offices, headquartered on Haelsingegatan in Stockholm; publishes a hej@ inbox.",Manual list - 2026-08-08
White Arkitekter,https://whitearkitekter.com,,+46 31 60 86 00,Sweden,Gothenburg,Architecture,large,,,sustainability;employee-owned;nordic,,5,"Europe's largest employee-owned architecture practice, ~700 staff, headquartered in Gothenburg. Only a broker-guessed address pattern was available, so no email was written.",Manual list - 2026-08-08
Wingardh Arkitektkontor,https://wingardhs.se,wingardhs@wingardhs.se,+46 31 743 70 00,Sweden,Gothenburg,Architecture,large,,,award-winning;kasper-kalkon;cultural,,5,"Gothenburg practice of ~150 staff led by Gert Wingardh, Sweden's most-awarded architect. The published inbox is a general/courier one.",Manual list - 2026-08-08
Skanska,https://skanska.se,,+46 10 448 00 00,Sweden,Stockholm,Construction,large,,,contractor;developer;multinational,,3,"Listed multinational contractor and developer, Swedish head office on Warfvinges vaeg. Only role-specific addresses (billing, named property staff) are published, so no general email was written.",Manual list - 2026-08-08
Note Design Studio,https://notedesignstudio.se,info@notedesignstudio.se,+46 8 656 88 04,Sweden,Stockholm,Interior Design,small,,,interiors;product;colour;nordic,,8,"Heliosgatan Stockholm studio of ~14 designers working across interiors, products and colour - the only small studio in this batch and the closest style match in the whole Swedish set.",Manual list - 2026-08-08
Karavan Landskapsarkitekter,https://karavanlandskap.se,kontoret@karavanlandskap.se,+46 72 222 71 91,Sweden,Uppsala,Architecture,small,,,landscape;award-winning;uppsala,,7,"Award-winning Uppsala landscape practice of 19-23 staff on Fyristorg, with a second office; publishes a general kontoret@ inbox.",Manual list - 2026-08-08
Mareld Landskapsarkitekter,https://www.mareldlandskap.se,,+46 31 10 77 90,Sweden,Gothenburg,Architecture,medium,,,landscape;urban-design;four-offices,,6,"Esperantoplatsen Gothenburg landscape practice running four offices, working from planning and urban design through to detailing and aftercare. The addresses that surfaced sit on mareldarkitektur.se, a different domain from the site, and are named-person only - so none was written.",Manual list - 2026-08-08
Krook & Tjader,https://www.krooktjader.se,,+46 31 704 17 30,Sweden,Gothenburg,Architecture,large,,,established-1988;multi-office;gothenburg,,5,"Founded 1988 in Gothenburg by Bengt-Ove Krook and Stefan Tjader, ~130 staff in the Gothenburg office alone plus Stockholm. No general inbox published and krooktjader.se carries no MX record, so no email was written.",Manual list - 2026-08-08
Sweco Architects,https://www.sweco.se,,+46 8 695 60 00,Sweden,Stockholm,Architecture,large,,,engineering;architecture;50-offices,,4,"Architecture arm of Sweco Sverige, ~6,300 staff across roughly 50 Swedish offices, head office on Gjoerwellsgatan. Only press and invoicing addresses are published, so no project inbox was written.",Manual list - 2026-08-08
JM AB,https://www.jm.se,info@jm.se,+46 8 782 87 00,Sweden,Stockholm,Real Estate,large,,,residential-developer;listed;swan-marked,,5,"Northern Europe's leading residential developer, a housing specialist since 1945 and the first Nordic company in its industry to Swan-mark every home; ~2,600 staff, listed on Nasdaq Stockholm Large Cap.",Manual list - 2026-08-08
Vasakronan,https://vasakronan.se,,+46 8 566 206 00,Sweden,Stockholm,Real Estate,large,,,commercial-property;offices;sustainability,,5,"Sweden's largest commercial property owner, ~430 staff, headquartered on Maester Samuelsgatan. Only named-person addresses are published, so none was written.",Manual list - 2026-08-08
NCC,https://www.ncc.se,info@ncc.se,+46 8 585 510 00,Sweden,Solna,Construction,large,,,contractor;developer;nordic,,3,"Nordic construction and property development group of ~11,800 staff, head office at Herrjaerva torg in Solna.",Manual list - 2026-08-08
Peab,https://www.peab.se,info@peab.se,+46 431 890 00,Sweden,Foerslov,Construction,large,,,contractor;developer;nordic,,3,"Nordic construction and property development group of ~14,578 staff, headquartered at Foerslov in Skane.",Manual list - 2026-08-08
Soul,https://www.soul.se,,,Sweden,Stockholm,Visualization,small,,,architectural-visualization;rendering;boutique,,0,"Stockholm/Gothenburg boutique architectural visualisation studio. Per the 2026-08-08 playbook update, viz studios are kept rather than rejected - a busy studio subcontracts overflow, making this a channel rather than a rival. No general email published.",Manual list - 2026-08-09
AIX Arkitekter,https://www.aix.se,info@aix.se,+46 8 690 29 00,Sweden,Stockholm,Architecture,medium,,,public;housing;90-employees,,5,"Hudiksvallsgatan Stockholm practice, ~90-119 staff.",Manual list - 2026-08-09
Kanozi Arkitekter,https://www.kanozi.se,,031-14 48 00,Sweden,Gothenburg,Architecture,medium,,,housing;urban;multi-office,,5,"Jarntorget Gothenburg practice with a Malmo office, ~54-60 staff. No general inbox published.",Manual list - 2026-08-09
Spridd,https://www.spridd.se,info@spridd.se,+46 8 673 03 80,Sweden,Stockholm,Architecture,small,,,boutique;residential;7-10-architects,,8,Blekingegatan Stockholm studio of 7-10 architects - close style match.,Manual list - 2026-08-09
Belatchew Arkitekter,https://belatchew.com,info@belatchew.com,+46 8 55 80 14 14,Sweden,Stockholm,Architecture,small,,,award-winning;conceptual;12-staff,,7,"Alsnogatan Stockholm studio of ~12 staff, award-winning conceptual work.",Manual list - 2026-08-09
Griab,https://griab.com,,042-23 10 32,Sweden,Helsingborg,Architecture,medium,,,regional;helsingborg,,5,Sodra Stenbocksgatan Helsingborg practice. No general email published.,Manual list - 2026-08-09
Olsson Lyckefors Arkitektur,https://olssonlyckefors.se,,031-20 30 62,Sweden,Gothenburg,Architecture,medium,,,recent-awards;27-staff,,6,"Halsingegatan Gothenburg practice of ~27 staff, recently awarded. No general email published.",Manual list - 2026-08-09
Murman Arkitekter,https://www.murman.se,info@murman.se,08 462 14 50,Sweden,Stockholm,Architecture,medium,,,interiors;architecture;30-35-staff,,6,Tjarhovsgatan Stockholm practice of ~30-35 staff spanning interiors and architecture.,Manual list - 2026-08-09
Utopia Arkitekter,https://www.utopia.se,info@utopia.se,+46 8 120 315 80,Sweden,Stockholm,Architecture,small,,,interiors;architecture;18-staff,,6,Jarntorget Stockholm practice of ~18 staff.,Manual list - 2026-08-09
Topia Landskapsarkitekter,https://topia.se,info@topia.se,+46 8 654 33 10,Sweden,Stockholm,Architecture,small,,,landscape;18-staff,,6,Hornsgatan Stockholm landscape architecture practice of ~18 staff.,Manual list - 2026-08-09
FOJAB arkitekter,https://fojab.se,info@fojab.se,+46 40 27 98 00,Sweden,Malmo,Architecture,large,,,multi-office;established;awarded,,5,"Major Swedish practice headquartered in Malmo on Friisgatan 28, offices across the country.",Sveriges 30 basta arkitektkontor list
