name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Studio 3LHD,https://3lhd.com,info@3lhd.com,+385 1 2320 200,Croatia,Zagreb,Architecture,medium,,,,no_inhouse,7,Well-known Zagreb architecture studio with published email; MX verified.,Prepared list review 2026-08-11
ATMOSFERA,https://atmosfera.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,4,Small Zagreb architecture/design studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Binom d.o.o.,https://binom.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,3,Small Zagreb architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Aalto,https://aalto.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,4,Small Zagreb architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Milat d.o.o.,https://milat.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,3,Small Zagreb architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Prostoria,https://prostoria.hr,,,Croatia,Zagreb,Interior Design,small,,,contact-form-only;product,active_social,5,Zagreb interior/product design studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Numen/For Use,https://numen.org,,,Croatia,Zagreb,Interior Design,small,,,contact-form-only;design,active_social,6,Zagreb design/architecture studio with international profile; site healthy; contact via website form only.,Prepared list review 2026-08-11
Hiro,https://hiro.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,3,Small Zagreb architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
NFO Architects,https://nfo.hr,,,Croatia,Zagreb,Architecture,small,,,contact-form-only,no_inhouse,3,Small Zagreb architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
Strabag Croatia,https://strabag.hr,,,Croatia,Zagreb,Construction,large,,,contact-form-only,,2,Large construction firm (Croatia arm of Strabag); site healthy; contact via website form only.,Prepared list review 2026-08-11
Viadukt d.o.o.,http://viadukt.hr,,,Croatia,Zagreb,Construction,large,,,contact-form-only,,2,"Large Zagreb construction firm; site reachable over HTTP only (HTTPS handshake failed), otherwise healthy; contact via website form only.",Prepared list review 2026-08-11
Radnik d.o.o.,https://radnik.hr,,,Croatia,Split,Construction,medium,,,contact-form-only,,2,Split-based construction firm; site healthy; contact via website form only.,Prepared list review 2026-08-11
ING-PRO d.o.o.,https://ingpro.hr,,,Croatia,Zagreb,Construction,medium,,,contact-form-only,,2,Zagreb construction firm; site healthy; contact via website form only.,Prepared list review 2026-08-11
Dalekovod d.d.,https://dalekovod.hr,,,Croatia,Zagreb,Construction,large,,,contact-form-only;engineering,,2,Large Croatian construction/engineering group; site healthy; contact via website form only.,Prepared list review 2026-08-11
Format 3D,https://format3d.hr,,,Croatia,Zagreb,Visualization,small,,,contact-form-only;archviz;rendering,no_inhouse,5,Zagreb rendering/visualization studio; site healthy; contact via website form only. Restored per standing rule.,Prepared list review 2026-08-11
VisEngine Croatia,https://visengine.com,info@visengine.com,385,Croatia,Zagreb,Visualization,medium,,,archviz,,4,ArchViz vendor with a Croatia presence; published email MX verified. Restored per standing rule.,Prepared list review 2026-08-11
MVA / Mikelic Vres Arhitekti,https://mva.hr,info@mva.hr,,Croatia,Zagreb,Architecture,medium,,,landscape;urban;interior,,4,Zagreb architecture/landscape/urban/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Roth & Cerina Architects,https://rothcerina.com,,,Croatia,Zagreb,Architecture,medium,,,contact-form-only;cultural;residential,no_inhouse,5,"Zagreb architecture/cultural/residential practice; site healthy; no email in source list, contact via website form.",Prepared list review 2026-08-11
Aplan,https://aplan.hr,aplan@aplan.hr,,Croatia,Zagreb,Architecture,medium,,,design;branding;interior,,4,Zagreb architecture/design/branding/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Kapov Architectural Design Office,https://kapov.hr,info@kapov.hr,,Croatia,Zagreb / Split,Architecture,medium,,,public;commercial;residential,,4,Zagreb/Split architecture/public/commercial/residential practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Studio Obris,https://studio-obris.hr,,,Croatia,Zagreb,Architecture,medium,,,contact-form-only;urban;interior;3d,no_inhouse,5,"Zagreb architecture/urban/interior/3D studio; site healthy; no email in source list, contact via website form.",Prepared list review 2026-08-11
Studio G2,https://studio-g2.hr,,,Croatia,Zagreb,Visualization,small,,,contact-form-only;interior;3d-visualization,no_inhouse,5,"Zagreb interior/3D visualization studio; site healthy; no email in source list, contact via website form. Included per standing rule.",Prepared list review 2026-08-11
Jolos,https://jolos.hr,info@jolos.hr,,Croatia,Split / Zagreb,Architecture,medium,,,engineering;3d-visualization,,4,Split/Zagreb architecture/engineering/3D visualization practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
V-Branch Studio,https://v-branchstudio.eu,vid@v-branchstudio.eu,,Croatia,Zagreb,Visualization,small,,,archviz;residential-cgi;animation,no_inhouse,5,Zagreb archviz/residential CGI/animation studio; site healthy; published named-contact email pre-verified. Included per standing rule.,Prepared list review 2026-08-11
Brid Studio,https://bridstudio.hr,,,Croatia,Croatia-wide,Visualization,small,,,contact-form-only;real-estate-3d,no_inhouse,5,"Croatia-wide real estate 3D visualization studio; site healthy; no email in source list, contact via website form.",Prepared list review 2026-08-11
VisualizationStudio Zagreb,https://visualizationstudio.com,,,Croatia,Zagreb,Visualization,small,,,contact-form-only;archviz;animation;design,no_inhouse,5,"Zagreb archviz/animation/design studio; site healthy; no email in source list, contact via website form.",Prepared list review 2026-08-11
AGM West,https://agm-west.hr,info@agm-west.hr,,Croatia,Zagreb,Architecture,medium,,,real-estate-development;interior;3d,new_project,4,Zagreb architecture/real estate development/interior/3D practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Mucic & Co.,https://mucic.com,info@mucic.com,,Croatia,Zagreb,Construction,medium,,,architecture;development,new_project,2,Zagreb architecture/construction/development firm; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Ing-grad,https://ing-grad.hr,info@ing-grad.hr,,Croatia,Zagreb,Construction,medium,,,development;engineering,new_project,2,Zagreb construction/development/engineering firm; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Arhitektri,https://arhitektri.hr,info@arhitektri.hr,,Croatia,Zagreb,Architecture,medium,,,branding;interior;technology,,4,Zagreb architecture/branding/interior/technology practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
10Aarch,https://10aarch.hr,info@10aarch.hr,,Croatia,Zagreb,Architecture,medium,,,urban;landscape,,4,Zagreb architecture/urban/landscape practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Quantum Studio,https://quantum-studio.hr,info@quantum-studio.hr,,Croatia,Zagreb,Architecture,medium,,,sustainable-design,,4,Zagreb sustainable architecture design studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ORA Architecture Studio,https://ora-ora.hr,studio@ora-ora.hr,,Croatia,Zagreb,Architecture,small,,,urban,no_inhouse,4,Zagreb architecture/urban studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
BOUM! arch,https://boumarch.com,info@boumarch.com,,Croatia,Rijeka,Architecture,medium,,,urban;interior;masterplanning,,5,Rijeka architecture/urban/interior/masterplanning practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Studio GRiD,https://studio-grid.net,info@studio-grid.net,,Croatia,Zadar,Visualization,medium,,,archviz;animation;vr;ar,,5,Zadar archviz/animation/VR/AR studio; site healthy; published email pre-verified. Included per standing rule.,Prepared list review 2026-08-11
MI ARHITEKTI,https://miarhitekti.eu,info@miarhitekti.eu,,Croatia,Dubrovnik,Architecture,small,,,interior;furniture,no_inhouse,4,"Dubrovnik architecture/interior/furniture practice; site returns 403 to automated fetch (bot-blocked), otherwise reachable; published email pre-verified.",Prepared list review 2026-08-11
Architectural & Construction Studio,https://arhitektura.hr,info@arhitektura.hr,,Croatia,Rijeka,Architecture,medium,,,urban;landscape;planning,,3,Rijeka architecture/urban/landscape/planning practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Heros Architecture Studio,https://heros.hr,info@heros.hr,,Croatia,Split,Architecture,medium,,,villas;hospitality,,5,Split architecture/villas/hospitality practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Proarh,https://www.proarh.hr,proarhmatekovic@proarh.hr,+385 1 463 6002,Croatia,Zagreb,Architecture,small,,,residential;hospitality;multidisciplinary;since-1992,recent_award,5,Zagreb practice founded 1992 by Davor Matekovic - residential and hospitality (Issa Megaron won a The Plan Award 2018); own-domain email,WebSearch best architecture firms Zagreb Croatia
Studio DOT,https://www.studiodot.hr,studiodot@studiodot.hr,+385 1 656 0468,Croatia,Zagreb,Architecture,small,,,family-houses;interiors;concept-to-execution;since-2015,no_inhouse,4,"Zagreb architecture and interior studio founded 2015 by Mirna Jagarinec Ojdenic and Maja Mizler - private houses, full documentation, interiors; own-domain email",WebSearch arhitektonski studio Zagreb family house
Studio L,http://studiol.hr,studiol@studiol.hr,+385 1 461 1164,Croatia,Zagreb,Architecture,small,,,family-houses;offices;marinas;interiors;since-1993,no_inhouse,3,"Zagreb architecture office founded 1993 (director Hrvoje Lovosevic) - houses, offices, marinas plus interior design; own-domain email",WebSearch arhitektonski studio Zagreb
SIA plus,https://sia.hr,info@sia.hr,+385 91 790 6241,Croatia,Zagreb,Architecture,small,,,architecture;design;legalisation;supervision,no_inhouse,3,"Zagreb architecture studio (Trnjanska cesta, director Ivan Sucic); own-domain email",WebSearch arhitektonski studio Zagreb
Prostor Split,https://www.prostor-split.hr,info@prostor-split.hr,+385 21 394 308,Croatia,Split,Architecture,small,,,architecture;design;public-buildings;since-1994,no_inhouse,3,Split architecture and design office founded 1994; own-domain email and phone,WebSearch arhitektonski ured Split
Tobis,https://www.tobis.hr,kontakt@tobis.hr,+385 23 315 796,Croatia,Zadar,Architecture,small,,,architecture;legalisation;Zadar;Zagreb,no_inhouse,3,"Zadar + Zagreb architectural design office (Siroka ulica, Zadar); own-domain email and phone",WebSearch arhitektonski ured Zadar
MF Arhitekti,https://www.mfarhitekti.hr,info@mfarhitekti.hr,+385 51 211 785,Croatia,Rijeka,Architecture,small,,,architecture;supervision;since-2006,no_inhouse,3,Rijeka architecture office since 2006 (director Marko Frankovic); own-domain email and phone,WebSearch projektni ured Rijeka Croatia
Arhitektura Jerkovic,https://a-jerkovic.hr,info@a-jerkovic.hr,+385 99 533 0600,Croatia,Rijeka,Architecture,small,,,architecture;urbanism;interiors;Rijeka;Umag,no_inhouse,3,"Rijeka + Umag architecture, urbanism and interior design office (Aleksandar Jerkovic) focused on advanced technological solutions; own-domain email",WebSearch projektni ured Rijeka Croatia
DVA Arhitekta,https://www.dva-arhitekta.hr,tom@dva-arhitekta.hr,+385 1 4500 333,Croatia,Zagreb,Architecture,small,,,residential;minimalist;natural-materials,no_inhouse,4,Zagreb practice (Vlaska ulica) known for minimalist residential architecture with clean lines and natural materials; named-contact own-domain email,WebSearch best architecture firms Zagreb Croatia
CTI Studio,https://www.creative-tourism.hr,kontakt@creative-tourism.hr,,Croatia,Pula,Interior Design,small,,,residential;tourism;developer-projects;150-plus-projects;since-2016,no_inhouse;new_project,5,"Istria-based interior design studio since 2016, 150+ residential, tourism and developer projects across Croatia with a focus on Istria, Zagreb and Dalmatia; does concept-to-3D-visualisation in-house; own-domain email",WebFetch creative-tourism.hr
NOIN arhitekti,http://www.noin.hr,arhitekti@noin.hr,,Croatia,Zagreb,Architecture,small,,,architecture;interiors;exterior-design;consulting,no_inhouse,4,"Zagreb architecture studio - architectural design, interiors and exterior design; own-domain email",WebSearch NOIN arhitekti Zagreb
Radionica arhitekture,https://www.radionica-arhitekture.hr,info@radionica-arhitekture.hr,+385 1 377 8567,Croatia,Zagreb,Architecture,small,,,architecture;3d-visualisation;two-studios-zagreb,no_inhouse,4,Zagreb architecture practice (Crnomerec + Grahorova) offering architectural services and 3D visualisation; own-domain email,WebSearch Radionica arhitekture Zagreb
Studio Rechner,https://www.studiorechner.hr,ira@studiorechner.hr,+385 51 320 188,Croatia,Rijeka,Architecture,small,,,architecture;architectural-design;Rijeka,no_inhouse,3,Rijeka architecture office (Mose Albaharija); own-domain email and phone,WebSearch Studio Rechner Rijeka
Idis Turato,https://www.turato.hr,info@turato.hr,,Croatia,Rijeka,Architecture,small,,,residential;public;award-winning;Rijeka;Split;Zagreb,recent_award,5,"Rijeka-based practice of Idis Turato, internationally exhibited and award-winning contemporary Croatian architecture; own-domain email",WebSearch Idis Turato Rijeka
SODA arhitekti,https://www.sodaarhitekti.hr,info@sodaarhitekti.hr,+385 1 638 0680,Croatia,Zagreb,Architecture,small,,,architecture;architectural-design;Zagreb,no_inhouse,4,Zagreb architecture studio (Froudeova ulica); own-domain email and phone,WebSearch SODA arhitekti Zagreb
SANGRAD + AVP architects,https://sangrad-avp.com,vedran.pedisic@sangrad.hr,+385 1 461 3052,Croatia,Zagreb,Architecture,small,,,commercial;cultural;residential;award-winning;international,recent_award,5,"Zagreb emerging practice founded by Vedran Pedisic and Erick Velasco Farrera, local and international recognition (Zagreb Crafts Centre); named-principal email on sangrad.hr (site is sangrad-avp.com)",WebSearch SANGRAD AVP arhitekti Zagreb
Valamar Riviera,https://valamar-riviera.com,ir@valamar.com,+385 52 465 000,Croatia,Porec,Real Estate,large,,,hotels;resorts;tourism-developer;450m-eur-programme;pical-resort-5-star,new_project,2,"Croatia's largest listed tourism company - developing the Pical Resort 5* in Porec (514 units, opens 2026) as the single biggest investment in Croatian tourism, plus a 450m EUR portfolio-upgrade programme. Large firm, included per always-include-large rule; investor-relations email",WebSearch Valamar Riviera Porec investor relations
Maistra,https://www.maistra.com,hello@maistra.hr,+385 52 808 000,Croatia,Rovinj,Real Estate,large,,,hotels;resorts;campsites;tourism-developer;2024-2027-capex,new_project,2,"Rovinj-based hospitality group (Adris) with a 2024-2027 capex programme - Hotel Marjan reconstruction in Split, Vrsar Holiday Village campsite merger. Large firm, included per always-include-large rule; sales/general email",WebSearch Maistra Rovinj hospitality
MISHE Arhitektonski studio,https://mishe.hr,,,Croatia,Rijeka,Interior Design,solo,,,residential;office;museum;tourism;nautical;since-2019,no_inhouse,4,"Rijeka interior-focused architecture studio founded 2019 by Ana Mise - residential, office, museum, tourist, sports and nautical interiors; no plaintext email on the site",WebSearch MISHE studio Rijeka
KK Design,https://www.kkdesign.hr,,,Croatia,Split,Interior Design,solo,,,residential;interiors;3d-visualisation;furnishing,no_inhouse,3,"Split interior design studio (Katarina Kavain Skare) - design, 3D visualisation and interior furnishing; no plaintext email on the site",WebSearch KK Design Split dizajn interijera
Adriatic Development Group,http://adgroup.hr,,,Croatia,Opatija,Real Estate,small,,,developer;design-build-sell;sustainable;opatija;liburnia-riviera,new_project,4,"Opatija developer covering investment, design, construction and sale of residential real estate on the Liburnia Riviera with sustainable construction; no plaintext email on the site",WebSearch Adriatic Development Group Opatija
Render13,https://render13.hr,,+385 95 909 3422,Croatia,Rijeka,Visualization,solo,,,interior-design;3d-visualisation;exteriors;interiors,no_inhouse,4,Rijeka studio (Mario Lazaric) for interior design and 3D visualisation of exteriors and interiors; only a gmail address surfaced so withheld. Included per always-include-viz rule,WebSearch Croatia 3D vizualizacija studio Rijeka
