name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
JWA Architects,https://jwa.co.nz,connect@jwa.co.nz,+64 9 368 1111,New Zealand,Auckland,Architecture,small,,,,no_inhouse,3,Boutique residential/commercial practice; no visualisation department listed,NZIA Auckland Architecture Awards 2026 shortlist
Eclipse Architecture,https://www.eclipsearchitecture.co.nz,michelle@eclipsearchitecture.co.nz,+64 9 303 4759,New Zealand,Auckland,Architecture,small,,,,no_inhouse,2,Central Auckland practice shortlisted for Auckland Art Gallery refurb,NZIA Auckland Architecture Awards 2026 shortlist
Megan Edwards Architects,https://mearch.nz,megan@mearch.nz,021 458 967,New Zealand,Auckland,Architecture,solo,,,,no_inhouse,4,"Small residential/interiors/landscape studio, warm minimalist aesthetic in published work",NZIA Auckland Architecture Awards 2026 shortlist
Gel Architects,https://www.gelarchitects.com,hello@gelarchitects.com,09 368 4403,New Zealand,Auckland,Architecture,small,,,,no_inhouse,2,Shortlisted for St James Apartments; multi-office boutique practice,NZIA Auckland Architecture Awards 2026 shortlist
Studio John Irving,https://www.studiojohnirving.com,john@studiojohnirving.com,09 337 0737,New Zealand,Auckland,Architecture,small,,,,no_inhouse;recent_award,5,"Four shortlisted 2026 projects (Ocean Restaurant, Te Arai Home, Dolly, Bunker Bar); residential/hospitality focus",NZIA Auckland Architecture Awards 2026 shortlist
EADA Architects,https://eada.co.nz,sophie@eada.co.nz,0225552375,New Zealand,Auckland,Architecture,solo,,https://www.instagram.com/eada.architects/,,no_inhouse;active_social,3,Small practice with active Instagram presence and 2026 awards shortlist entry,NZIA Auckland Architecture Awards 2026 shortlist
Roberts Gray Architects,https://robertsgray.co,practice@robertsgray.co,+64 21 226 3128,New Zealand,Auckland,Architecture,small,,,,no_inhouse;recent_award,6,"Featured on Dezeen for rammed-earth Double Courtyard House, minimalist organic aesthetic strong fit",NZIA Auckland Architecture Awards 2026 shortlist
Monk Mackenzie,https://www.monkmackenzie.com,hamish.monk@monkmackenzie.com,09 600 3335,New Zealand,Auckland,Architecture,small,,,,no_inhouse,3,"Three projects (Ember, Exhibit, Greenslade Court) on 2026 Auckland shortlist",NZIA Auckland Architecture Awards 2026 shortlist
Rogan Nash Architects,https://rogannash.com,mail@rogannash.com,09 361 2548,New Zealand,Auckland,Architecture,small,,,,no_inhouse,4,Award-winning residential practice founded 2012 in Grey Lynn,NZIA Auckland Architecture Awards 2026 shortlist
Lloyd Hartley Architects,https://www.lloydhartley.com,ben@lloydhartley.com,09 281 5505,New Zealand,Auckland,Architecture,small,,,,no_inhouse,3,Architecture interiors and project management practice with 2026 shortlist entry (Sandtrap),NZIA Auckland Architecture Awards 2026 shortlist
