name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
MOLA Architecture,mola.ie,mail@mola.ie,+353 1 218 3900,Ireland,Dublin,Architecture,small,,,,no_inhouse,2,"Dublin studio led by two partners covering residential, interiors, urban design, hospitality and masterplanning",WebSearch general
Dublin Design Studio,dublindesignstudio.com,arch@dublindesignstudio.com,+353 1 902 3944,Ireland,Dublin,Architecture,medium,,,,no_inhouse,1,"Multi-award winning practice of architects and designers with over 25 years in practice",WebSearch general
Architectural Farm,architecturalfarm.com,,+353 1 442 1039,Ireland,Dublin,Architecture,small,,,,no_inhouse,1,"Design-focused architectural studio at 149 Francis Street Dublin 8, led by Shane Cotter and Kathryn Wilson since 2010",WebSearch general
Brennan Furlong Architects,brennanfurlong.ie,studio@brennanfurlong.ie,+353 1 874 7410,Ireland,Dublin,Architecture,small,,,,recent_award;no_inhouse,3,"Award-winning RIAI-registered practice founded 2015 in Clontarf, published in Architectural Record for Four Winds House",WebSearch general
Henry J Lyons,henryjlyons.com,admin@hjlyons.com,+353 1 888 3333,Ireland,Dublin,Architecture,large,,,,recent_award,0,"Won RIAI 2026 International Award for Ireland House Tokyo and Public Buildings award for Project Connect RCSI; studios in Dublin and Cork",RIAI Awards 2026
Rachel Carmody Design,,,,Ireland,Dublin,Architecture,solo,,,,recent_award;no_inhouse,4,"Small design-led studio founded 2018, won RIAI 2026 Living award for Greenville Terrace home adaption",RIAI Awards 2026
REIR Studio,reir.ie,,,Ireland,Dublin,Architecture,small,,,,recent_award;no_inhouse,3,"Founded 2020 by two architects, won RIAI 2026 Living award for Pembroke Cottages home adaption",RIAI Awards 2026
Lawrence and Long Architects,lawrenceandlong.com,info@lawrenceandlong.com,+353 1 661 9206,Ireland,Dublin,Architecture,small,,,,recent_award;no_inhouse,2,"Won RIAI 2026 Award for New Build Home for O-House",RIAI Awards 2026
OBFA,obfa.ie,office@obfa.ie,+353 1 685 4586,Ireland,Dublin,Architecture,small,,,,recent_award;no_inhouse,2,"Progressive BIM-based practice, won RIAI 2026 award for Shackleton Experience (3rd place Public Choice)",RIAI Awards 2026
Kingston Lafferty Design,kingstonlaffertydesign.com,becky@kingstonlaffertydesign.com,+353 1 555 1234,Ireland,Dublin,Interior Design,small,,,,active_social;no_inhouse,4,"Award-winning interior architecture and design house founded 2010 by Roisin Lafferty, active on social media and press",WebSearch general
Lyons Kelly,lyonskelly.com,,,Ireland,Dublin,Interior Design,small,,,,no_inhouse,3,"Founded by an architect and interior designer, team of 15, specialises in period home reuse and renovation",WebSearch general
Studio44,studio44.ie,info@studio44.ie,+353 1 296 4208,Ireland,Dublin,Interior Design,solo,,,,no_inhouse,2,"Interior architecture and design studio headed by Philippa Buckley, high-end residential",WebSearch general
Black Fox Interiors,blackfoxinteriors.com,,,Ireland,Dublin,Interior Design,solo,,,,no_inhouse,1,"Small studio in Ballinteer, Dublin, focused on residential and small offices",WebSearch general
Hamilton Interiors,hamiltoninteriors.ie,info@hamiltoninteriors.ie,085 2579204,Ireland,Dublin,Interior Design,small,,,,no_inhouse,2,"Bespoke interior design consultancy operating across Ireland",WebSearch general
Designed by Woulfe,designedbywoulfe.com,,,Ireland,Dublin,Interior Design,small,,,,active_social;no_inhouse,3,"Award-winning luxury interior design studio led by founder Brian Woulfe",WebSearch general
ODOS Architects,odosarchitects.com,info@odosarchitects.com,+353 1 672 5300,Ireland,Dublin,Architecture,medium,,,,no_inhouse,3,"Multi-award winning architecture and interior design firm with offices in Dublin, London and New York",WebSearch general
McCullough Mulvin Architects,mcculloughmulvin.com,info@mcculloughmulvin.com,+353 1 707 9555,Ireland,Dublin,Architecture,small,,,,no_inhouse,1,"Established Dublin practice at 16 Molesworth Street, led by Valerie Mulvin",WebSearch general
Hussey Architects,husseyarchitects.com,info@husseyarchitects.com,+353 1 524 1480,Ireland,Dublin,Architecture,small,,,,no_inhouse,1,"Practice founded by Ciaran Hussey specialising in healthcare, hospitality and masterplanning",WebSearch general
INVIZ,inviz.ie,,,Ireland,Dublin,Visualization,small,,,,no_inhouse,-2,"Architectural visualisation studio serving architects, developers and interior designers; email domain has no MX record so email withheld",WebSearch general
RME Digital Solutions,rme.ie,info@rme.ie,01 275 1510,Ireland,Dublin,Visualization,small,,,,no_inhouse,-2,"3D visualisation studio in Dun Laoghaire producing renders for architects and developers for over 15 years",WebSearch general
Neat Design,neatdesign.ie,linnea@neatdesign.ie,,Ireland,Dublin,Visualization,solo,,,,no_inhouse,-2,"Dublin-based 3D visualisation studio working in the architectural sector since 2002, led by Linnea Flatt",WebSearch general
3RD EYE,3rd-eye.ie,info@3rd-eye.ie,087 206 5839,Ireland,Cork,Visualization,small,,,,no_inhouse,-2,"Irish architectural visualisation studio with over 20 years' experience, offices Dublin and Cork",WebSearch general
Digital Dimensions,digitaldimensions.ie,mail@digitaldimensions.ie,+353 1 496 5340,Ireland,Dublin,Visualization,small,,,,no_inhouse,-2,"Founded 2000 by Jim Manning and John Healy, photorealistic CGI renders and verified photomontages for developers",WebSearch general
Visual Lab,visuallab.ie,info@visuallab.ie,+353 91 726928,Ireland,Galway,Visualization,small,,,,active_social;no_inhouse,-2,"Galway-based 3D visualisation studio for architects, planners and developers across Ireland and UK",WebSearch general
AODH Design,aodh.ie,office@aodh.ie,089 494 3589,Ireland,Wicklow,Visualization,solo,,,,no_inhouse,-2,"Small Greystones studio doing spatial design and CGI/VR visualisation for residential and large-scale developments",WebSearch general
D/RES Properties,dres.ie,,,Ireland,Dublin,Real Estate,medium,,,,new_project,0,"Housebuilder launching Oakmount, a new residential scheme in the Wicklow Mountains foothills, in 2026",WebSearch general
Kiosk Architects,kioskarchitects.com,info@kioskarchitects.com,(021) 455 2329,Ireland,Cork,Architecture,small,,,,no_inhouse,2,"Design-focused Cork practice founded 2003 working across varied project types and scales",WebSearch general
Cotter & Naessens Architects,cotter-naessens.net,,021 4847 123,Ireland,Cork,Architecture,small,,,,recent_award;no_inhouse,3,"Cork practice founded 2001 by Louise Cotter and David Naessens, won RIAI 2026 Public Buildings award for University of Limerick Student Centre; contact email domain did not match main site so withheld",RIAI Awards 2026
Conneely Wessels Architects,cwarchitects.ie,,+353 21 202 1125,Ireland,Cork,Architecture,solo,,,,no_inhouse,2,"Award-winning practice established 2008 in Kinsale, Co. Cork; only a personal Gmail address found so email withheld",WebSearch general
Hogan Interiors,hoganinteriors.ie,info@hoganinteriors.ie,+353 21 485 9833,Ireland,Cork,Interior Design,small,,,,no_inhouse,1,"Cork and Dublin interior design firm with over 25 years' experience, residential and commercial",WebSearch general
O'Flynn Group,oflynngroup.com,,+353 21 434 3111,Ireland,Cork,Real Estate,large,,,,new_project,0,"Cork-founded housebuilder and developer active since 1978 across Irish new-home developments; no company-domain email found",WebSearch general
McCauley Daye O'Connell Architects,mdo.ie,,+353 1 400 4171,Ireland,Dublin,Architecture,medium,,,,recent_award,1,"Won RIAI 2026 Public Buildings award for Barretstown Medical Centre",RIAI Awards 2026
Paul Dillon Architects,pauldillonarchitects.com,,,Ireland,Galway,Architecture,small,,,,no_inhouse,3,"Full-service Galway practice established 1999, combines design sensitivity with professional management and delivery",WebSearch general
Tribe Architects,tribearchitects.ie,info@tribearchitects.ie,091 660314,Ireland,Galway,Architecture,small,,,,no_inhouse,2,"Galway design studio established 2009 serving Galway, Sligo, Mayo and Clare",WebSearch general
Tully Studio,tullystudio.ie,,,Ireland,Galway,Architecture,solo,,,,no_inhouse,2,"Small landscape architecture studio covering Galway, Limerick, Clare and Tipperary",WebSearch general
Stonetown Architects,stonetown.ie,hello@stonetown.ie,+353 83 054 8277,Ireland,Limerick,Architecture,solo,,,,no_inhouse,3,"Small design-led Limerick practice founded by Ciara McInerney Karlsen and Damien Kennedy",WebSearch general
Healy Partners Architects,healypartners.com,mail@healypartners.com,+353 61 410966,Ireland,Limerick,Architecture,small,,,,no_inhouse,1,"Award-winning Limerick practice established 1990",WebSearch general
McGarry Ní Éanaigh Architects,,,,Ireland,Letterkenny,Architecture,small,,,,recent_award,2,"Won RIAI 2026 Public Choice Award (Ireland's favourite building) for the New Special Educational Needs School, Letterkenny",RIAI Awards 2026
Glenveagh Properties,glenveagh.ie,,,Ireland,Dublin,Real Estate,large,,,,new_project,0,"Euronext Dublin-listed homebuilder expecting to deliver 2,750 homes in 2026 across Dublin and other Irish cities",WebSearch general
Cairn Homes,cairnhomes.com,,01 696 4600,Ireland,Dublin,Real Estate,large,,,,new_project,0,"Dublin-listed housebuilder forecasting 6,000 new homes delivered across 2026-2027; only a broker-guessed email format found so email withheld",WebSearch general
Conroy,conroy.ie,,,Ireland,Dublin,Construction,medium,,,,no_inhouse,0,"Construction managers and contractors since 1991 delivering design-build and CAT A/B fit-out across Ireland and UK",WebSearch general
