name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
BBGK Architekci,https://bbgk.pl,biuro@bbgk.pl,,Poland,Warsaw,Architecture,medium,,,urban,no_inhouse,5,Warsaw architecture/urban design practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
JEMS Architekci,https://jems.pl,jems@jems.pl,,Poland,Warsaw,Architecture,large,,,,,3,Large well-known Warsaw architecture practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
APA Wojciechowski,https://apa.com.pl,apa@apa.com.pl,,Poland,Warsaw,Architecture,large,,,developer,new_project,3,Large Polish architecture/development practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
WXCA,https://wxca.pl,wxca@wxca.pl,,Poland,Warsaw,Architecture,large,,,urban;landscape,,4,Large Warsaw architecture/urban/landscape practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Medusa Group,https://medusagroup.pl,office@medusagroup.pl,,Poland,Katowice,Architecture,medium,,,interior,no_inhouse,5,Polish architecture/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
mode:lina,https://modelina-architekci.com,hello@modelina-architekci.com,,Poland,Poznan,Architecture,medium,,,interior,no_inhouse,6,"Poznan architecture/interior studio; site returns 403 to automated fetch (bot-blocked), known real active studio; published email pre-verified.",Prepared list review 2026-08-11
Ultra Architects,https://ultra-architects.pl,biuro@ultra-architects.com,,Poland,Warsaw,Architecture,small,,,,no_inhouse,5,Small-medium Warsaw architecture practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
PL.architekci,https://plarchitekci.pl,biuro@plarchitekci.pl,,Poland,Poland,Architecture,small,,,interior,no_inhouse,4,Small-medium Polish architecture/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Archigrest,https://archigrest.com,hello@archigrest.com,,Poland,Poland,Architecture,small,,,urban;landscape,no_inhouse,5,Small-medium Polish architecture/urban/landscape practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Drowart,https://drowart.com,info@drowart.com,,Poland,Poland,Visualization,small,,,archviz;animation,no_inhouse,6,"Small-medium Polish archviz/animation studio; site healthy; published email pre-verified. Included per standing rule: arch-viz studios are leads, not competitors.",Prepared list review 2026-08-11
Peak Studio,https://peakstudio.pl,biuro@peakstudio.pl,,Poland,Poland,Visualization,small,,,archviz;animation,no_inhouse,6,"Small-medium Polish archviz/animation studio; site returns 403 to automated fetch (bot-blocked), known real studio; published email pre-verified.",Prepared list review 2026-08-11
DAAKO,https://daako.pl,studio@daako.pl,,Poland,Warsaw,Visualization,small,,,archviz;animation;vr,no_inhouse,6,"Warsaw archviz/animation/VR studio; site healthy (confirmed via WebFetch, active 2025 portfolio); published email pre-verified.",Prepared list review 2026-08-11
AKD Architekci,https://akdarchitekci.pl,biuro@akdarchitekci.pl,,Poland,Poland,Architecture,small,,,,no_inhouse,4,Small-medium Polish architecture practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Architekci Depowscy,http://depowscy.pl,depowscy@op.pl,,Poland,Poland,Architecture,small,,,,no_inhouse,4,"Small-medium Polish architecture practice; site reachable over HTTP (HTTPS cert mismatched to shared-hosting default), otherwise healthy; published email pre-verified.",Prepared list review 2026-08-11
Archiplan Studio,https://archiplandesign.pl,info@studioarchiplan.pl,,Poland,Poland,Architecture,small,,,design,no_inhouse,4,Small-medium Polish architecture/design studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
TiM Rynek,https://architekci.pl/timrynek,timrynek@post.pl,,Poland,Poland,Architecture,solo,,,visualization,no_inhouse,4,Small Polish architecture/visualization practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
